Number of sim 	 Missing Snps
0	100
1	81
2	75
3	101
4	93
5	85
6	78
7	63
8	60
9	54
10	51
11	48
12	41
13	101
14	101
15	101
16	101
17	101
18	101
19	101
20	101
21	101
22	101
23	101
24	101
25	101
26	101
27	101
28	101
29	101
30	101
31	101
32	101
33	101
34	101
35	101
36	101
37	101
38	101
39	101
40	101
41	101
42	72
43	101
44	101
45	101
46	91
47	101
48	101
49	101
50	101
51	101
52	101
53	96
54	101
55	101
56	101
57	101
58	101
59	101
60	101
61	101
62	101
63	101
64	101
65	101
66	101
67	101
68	101
69	101
70	101
71	101
72	101
73	101
74	101
75	101
76	101
77	101
78	101
79	101
80	101
81	101
82	101
83	101
84	87
85	101
86	101
87	101
88	101
89	101
90	101
91	101
92	101
93	101
94	101
95	101
96	101
97	101
98	101
99	88
100	101
101	101
102	101
103	101
104	101
105	101
106	101
107	101
108	101
109	89
110	101
111	101
112	88
113	101
114	101
115	101
116	101
117	101
118	101
119	101
120	101
121	101
122	101
123	101
124	101
